player_id,first_name,last_name,country,longest_win_streak,best_surface
100644,Alexander,Zverev,GER,16,Clay
103333,Ivo,Karlovic,CRO,8,Grass
103565,Stephane,Robert,FRA,3,Clay
103607,Victor,Estrella,DOM,6,Clay
103794,Benjamin,Becker,GER,3,Hard
103819,Roger,Federer,SUI,17,Grass
103852,Feliciano,Lopez,ESP,8,Grass
103893,Paolo,Lorenzi,ITA,5,Clay
103898,Julien,Benneteau,FRA,4,Hard
103917,Nicolas,Mahut,FRA,8,Grass
103970,David,Ferrer,ESP,13,Clay
103990,Tommy,Robredo,ESP,4,Clay
104022,Mikhail,Youzhny,RUS,2,Hard
104180,Gilles,Muller,LUX,7,Grass
104198,Guillermo,Garcia Lopez,ESP,8,Clay
104229,Yen Hsun,Lu,TPE,3,Hard
104252,Florian,Mayer,GER,5,Grass
104259,Philipp,Kohlschreiber,GER,8,Clay
104269,Fernando,Verdasco,ESP,5,Clay
104291,Malek,Jaziri,TUN,4,Clay
104312,Andreas,Seppi,ITA,5,Grass
104327,Steve,Darcis,BEL,4,Hard
104338,Juan,Monaco,ARG,5,Clay
104468,Gilles,Simon,FRA,7,Grass
104527,Stan,Wawrinka,SUI,10,Hard
104542,Jo-Wilfried,Tsonga,FRA,9,Hard
104545,John,Isner,USA,9,Grass
104547,Horacio,Zeballos,ARG,4,Clay
104559,Teymuraz,Gabashvili,RUS,3,Clay
104571,Marcos,Baghdatis,CYP,5,Grass
104586,Lukas,Rosol,CZE,3,Clay
104597,Nicolas,Almagro,ESP,5,Clay
104607,Tomas,Berdych,CZE,6,Hard
104620,Simone,Bolelli,ITA,3,Clay
104655,Pablo,Cuevas,URU,9,Clay
104660,Sergiy,Stakhovsky,UKR,3,Hard
104665,Pablo,Andujar,ESP,6,Clay
104678,Viktor,Troicki,SRB,6,Grass
104719,Marcel,Granollers,ESP,3,Clay
104731,Kevin,Anderson,RSA,8,Grass
104745,Rafael,Nadal,ESP,21,Clay
104755,Richard,Gasquet,FRA,8,Grass
104792,Gael,Monfils,FRA,12,Hard
104797,Denis,Istomin,UZB,6,Grass
104871,Jeremy,Chardy,FRA,4,Hard
104890,Andreas,Haider Maurer,AUT,3,Clay
104898,Robin,Haase,NED,4,Grass
104918,Andy,Murray,GBR,30,Grass
104919,Leonardo,Mayer,ARG,7,Clay
104925,Novak,Djokovic,SRB,29,Grass
104926,Fabio,Fognini,ITA,8,Clay
104999,Mischa,Zverev,GER,5,Grass
105011,Illya,Marchenko,UKR,5,Hard
105023,Sam,Querrey,USA,8,Grass
105051,Matthew,Ebden,AUS,4,Grass
105053,Santiago,Giraldo,COL,3,Clay
105062,Mikhail,Kukushkin,KAZ,5,Hard
105064,Thomaz,Bellucci,BRA,6,Clay
105077,Albert,Ramos,ESP,9,Clay
105138,Roberto,Bautista Agut,ESP,10,Grass
105173,Adrian,Mannarino,FRA,8,Grass
105208,Ernests,Gulbis,LAT,4,Hard
105216,Yuichi,Sugita,JPN,6,Grass
105223,Juan Martin,del Potro,ARG,15,Hard
105227,Marin,Cilic,CRO,8,Grass
105238,Alexandr,Dolgopolov,UKR,7,Clay
105311,Joao,Sousa,POR,5,Clay
105332,Benoit,Paire,FRA,8,Grass
105357,John,Millman,AUS,4,Hard
105373,Martin,Klizan,SVK,9,Clay
105376,Peter,Gojowczyk,GER,6,Hard
105379,Aljaz,Bedene,SLO,6,Clay
105385,Donald,Young,USA,5,Grass
105430,Radu,Albot,MDA,7,Hard
105449,Steve,Johnson,USA,8,Grass
105453,Kei,Nishikori,JPN,10,Clay
105526,Jan Lennard,Struff,GER,6,Clay
105550,Guido,Pella,ARG,5,Clay
105554,Daniel,Evans,GBR,6,Hard
105575,Ricardas,Berankis,LTU,4,Hard
105577,Vasek,Pospisil,CAN,4,Hard
105583,Dusan,Lajovic,SRB,7,Clay
105643,Federico,Delbonis,ARG,4,Clay
105668,Jerzy,Janowicz,POL,4,Hard
105676,David,Goffin,BEL,9,Clay
105683,Milos,Raonic,CAN,9,Grass
105723,Andrey,Kuznetsov,RUS,3,Hard
105732,Pierre Hugues,Herbert,FRA,5,Grass
105777,Grigor,Dimitrov,BUL,10,Hard
105807,Pablo,Carreno Busta,ESP,8,Hard
105815,Tennys,Sandgren,USA,5,Hard
105870,Yannick,Hanfmann,GER,5,Clay
105902,James,Duckworth,AUS,4,Hard
105916,Marton,Fucsovics,HUN,6,Clay
105932,Nikoloz,Basilashvili,GEO,7,Clay
105936,Filip,Krajinovic,SRB,5,Hard
105948,Federico,Coria,ARG,4,Clay
105992,Ryan,Harrison,USA,5,Hard
106000,Damir,Dzumhur,BIH,8,Clay
106005,Constant,Lestienne,FRA,3,Hard
106043,Diego,Schwartzman,ARG,6,Clay
106058,Jack,Sock,USA,7,Hard
106065,Marco,Cecchinato,ITA,6,Clay
106071,Bernard,Tomic,AUS,5,Grass
106148,Roberto,Carballes Baena,ESP,5,Clay
106210,Jiri,Vesely,CZE,6,Grass
106214,Oscar,Otte,GER,3,Clay
106218,Marcos,Giron,USA,4,Grass
106228,Juan Ignacio,Londero,ARG,5,Clay
106233,Dominic,Thiem,AUT,11,Clay
106234,Aslan,Karatsev,RUS,7,Hard
106296,Gregoire,Barrere,FRA,3,Hard
106298,Lucas,Pouille,FRA,6,Grass
106378,Kyle,Edmund,GBR,7,Hard
106398,Pedro,Cachin,ARG,5,Clay
106401,Nick,Kyrgios,AUS,9,Hard
106415,Yoshihito,Nishioka,JPN,6,Hard
106421,Daniil,Medvedev,RUS,20,Hard
106426,Cristian,Garin,CHI,10,Clay
106432,Borna,Coric,CRO,7,Clay
109739,Maximilian,Marterer,GER,4,Clay
111153,Christopher,Eubanks,USA,9,Grass
111190,Zhizhen,Zhang,CHN,4,Clay
111202,Hyeon,Chung,KOR,6,Hard
111442,Jordan,Thompson,AUS,5,Grass
