ranking_date,player_id,player_name,country,rank,points,prev_rank,prev_points,rank_change,best_surface
20150105,100644,Alexander Zverev,GER,134,389,,,,Clay
20150112,100644,Alexander Zverev,GER,137,389,134,389,-3,Clay
20150119,100644,Alexander Zverev,GER,137,389,137,389,0,Clay
20150202,100644,Alexander Zverev,GER,135,389,137,389,2,Clay
20150209,100644,Alexander Zverev,GER,137,395,135,389,-2,Clay
20150216,100644,Alexander Zverev,GER,138,395,137,395,-1,Clay
20150223,100644,Alexander Zverev,GER,136,407,138,395,2,Clay
20150302,100644,Alexander Zverev,GER,136,407,136,407,0,Clay
20150309,100644,Alexander Zverev,GER,136,407,136,407,0,Clay
20150323,100644,Alexander Zverev,GER,129,432,136,407,7,Clay
20150406,100644,Alexander Zverev,GER,119,473,129,432,10,Clay
20150413,100644,Alexander Zverev,GER,122,473,119,473,-3,Clay
20150420,100644,Alexander Zverev,GER,118,468,122,473,4,Clay
20150427,100644,Alexander Zverev,GER,119,468,118,468,-1,Clay
20150504,100644,Alexander Zverev,GER,110,488,119,468,9,Clay
20150511,100644,Alexander Zverev,GER,105,523,110,488,5,Clay
20150518,100644,Alexander Zverev,GER,85,607,105,523,20,Clay
20150525,100644,Alexander Zverev,GER,89,601,85,607,-4,Clay
20150608,100644,Alexander Zverev,GER,84,609,89,601,5,Clay
20150615,100644,Alexander Zverev,GER,81,624,84,609,3,Clay
20150622,100644,Alexander Zverev,GER,76,669,81,624,5,Clay
20150629,100644,Alexander Zverev,GER,74,689,76,669,2,Clay
20150713,100644,Alexander Zverev,GER,81,613,74,689,-7,Clay
20150720,100644,Alexander Zverev,GER,123,439,81,613,-42,Clay
20150727,100644,Alexander Zverev,GER,98,523,123,439,25,Clay
20150803,100644,Alexander Zverev,GER,96,523,98,523,2,Clay
20150810,100644,Alexander Zverev,GER,86,607,96,523,10,Clay
20150817,100644,Alexander Zverev,GER,85,607,86,607,1,Clay
20150824,100644,Alexander Zverev,GER,81,634,85,607,4,Clay
20150831,100644,Alexander Zverev,GER,82,634,81,634,-1,Clay
20150914,100644,Alexander Zverev,GER,79,652,82,634,3,Clay
20150921,100644,Alexander Zverev,GER,79,652,79,652,0,Clay
20150928,100644,Alexander Zverev,GER,78,652,79,652,1,Clay
20151005,100644,Alexander Zverev,GER,78,633,78,652,0,Clay
20151012,100644,Alexander Zverev,GER,80,633,78,633,-2,Clay
20151019,100644,Alexander Zverev,GER,83,627,80,633,-3,Clay
20151026,100644,Alexander Zverev,GER,84,647,83,627,-1,Clay
20151102,100644,Alexander Zverev,GER,82,647,84,647,2,Clay
20151109,100644,Alexander Zverev,GER,81,647,82,647,1,Clay
20151116,100644,Alexander Zverev,GER,83,647,81,647,-2,Clay
20151123,100644,Alexander Zverev,GER,81,647,83,647,2,Clay
20151130,100644,Alexander Zverev,GER,83,647,81,647,-2,Clay
20151207,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20151214,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20151221,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20151228,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20160104,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20160111,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20160118,100644,Alexander Zverev,GER,83,647,83,647,0,Clay
20160201,100644,Alexander Zverev,GER,85,651,83,647,-2,Clay
20160208,100644,Alexander Zverev,GER,70,733,85,651,15,Clay
20160215,100644,Alexander Zverev,GER,56,813,70,733,14,Clay
20160222,100644,Alexander Zverev,GER,56,821,56,813,0,Clay
20160229,100644,Alexander Zverev,GER,58,821,56,821,-2,Clay
20160307,100644,Alexander Zverev,GER,58,821,58,821,0,Clay
20160321,100644,Alexander Zverev,GER,52,886,58,821,6,Clay
20160404,100644,Alexander Zverev,GER,54,870,52,886,-2,Clay
20160411,100644,Alexander Zverev,GER,54,870,54,870,0,Clay
20160418,100644,Alexander Zverev,GER,51,895,54,870,3,Clay
20160425,100644,Alexander Zverev,GER,49,920,51,895,2,Clay
20160502,100644,Alexander Zverev,GER,43,990,49,920,6,Clay
20160509,100644,Alexander Zverev,GER,44,975,43,990,-1,Clay
20160516,100644,Alexander Zverev,GER,48,930,44,975,-4,Clay
20160523,100644,Alexander Zverev,GER,41,1060,48,930,7,Clay
20160606,100644,Alexander Zverev,GER,38,1130,41,1060,3,Clay
20160613,100644,Alexander Zverev,GER,38,1130,38,1130,0,Clay
20160620,100644,Alexander Zverev,GER,28,1385,38,1130,10,Clay
20160627,100644,Alexander Zverev,GER,28,1385,28,1385,0,Clay
20160711,100644,Alexander Zverev,GER,27,1430,28,1385,1,Clay
20160718,100644,Alexander Zverev,GER,27,1430,27,1430,0,Clay
20160725,100644,Alexander Zverev,GER,25,1520,27,1430,2,Clay
20160801,100644,Alexander Zverev,GER,24,1510,25,1520,1,Clay
20160808,100644,Alexander Zverev,GER,27,1440,24,1510,-3,Clay
20160815,100644,Alexander Zverev,GER,27,1440,27,1440,0,Clay
20160822,100644,Alexander Zverev,GER,29,1415,27,1440,-2,Clay
20160829,100644,Alexander Zverev,GER,28,1415,29,1415,1,Clay
20160912,100644,Alexander Zverev,GER,27,1425,28,1415,1,Clay
20160919,100644,Alexander Zverev,GER,27,1425,27,1425,0,Clay
20160926,100644,Alexander Zverev,GER,24,1655,27,1425,3,Clay
20161003,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161010,100644,Alexander Zverev,GER,21,1700,24,1655,3,Clay
20161017,100644,Alexander Zverev,GER,20,1745,21,1700,1,Clay
20161024,100644,Alexander Zverev,GER,20,1745,20,1745,0,Clay
20161031,100644,Alexander Zverev,GER,21,1745,20,1745,-1,Clay
20161107,100644,Alexander Zverev,GER,24,1655,21,1745,-3,Clay
20161114,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161121,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161128,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161205,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161212,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161219,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20161226,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20170102,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20170109,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20170116,100644,Alexander Zverev,GER,24,1655,24,1655,0,Clay
20170130,100644,Alexander Zverev,GER,22,1735,24,1655,2,Clay
20170206,100644,Alexander Zverev,GER,21,1735,22,1735,1,Clay
20170213,100644,Alexander Zverev,GER,18,1895,21,1735,3,Clay
20170220,100644,Alexander Zverev,GER,18,1895,18,1895,0,Clay
20170227,100644,Alexander Zverev,GER,20,1895,18,1895,-2,Clay
20170306,100644,Alexander Zverev,GER,20,1895,20,1895,0,Clay
20170320,100644,Alexander Zverev,GER,20,1850,20,1895,0,Clay
20170403,100644,Alexander Zverev,GER,20,2005,20,1850,0,Clay
20170410,100644,Alexander Zverev,GER,20,2005,20,2005,0,Clay
20170417,100644,Alexander Zverev,GER,20,2005,20,2005,0,Clay
