player_name,month_date,win_rate_pct,best_surface
Adrian Mannarino,2015-03-01,62.5,Grass
Adrian Mannarino,2015-04-01,55.0,Grass
Adrian Mannarino,2015-05-01,47.0,Grass
Adrian Mannarino,2015-06-01,48.1,Grass
Adrian Mannarino,2015-07-01,46.3,Grass
Adrian Mannarino,2015-08-01,50.0,Grass
Adrian Mannarino,2015-09-01,49.0,Grass
Adrian Mannarino,2015-10-01,45.0,Grass
Adrian Mannarino,2015-11-01,40.0,Grass
Adrian Mannarino,2016-01-01,32.5,Grass
Adrian Mannarino,2016-02-01,39.4,Grass
Adrian Mannarino,2016-03-01,46.7,Grass
Adrian Mannarino,2016-04-01,48.3,Grass
Adrian Mannarino,2016-05-01,55.0,Grass
Adrian Mannarino,2016-06-01,54.5,Grass
Adrian Mannarino,2016-07-01,60.0,Grass
Adrian Mannarino,2016-08-01,54.0,Grass
Adrian Mannarino,2016-09-01,45.0,Grass
Adrian Mannarino,2016-10-01,41.7,Grass
Adrian Mannarino,2017-01-01,32.5,Grass
Adrian Mannarino,2017-02-01,23.0,Grass
Adrian Mannarino,2017-03-01,31.7,Grass
Adrian Mannarino,2017-04-01,40.0,Grass
Adrian Mannarino,2017-05-01,35.0,Grass
Adrian Mannarino,2017-06-01,47.5,Grass
Adrian Mannarino,2017-07-01,55.0,Grass
Adrian Mannarino,2017-08-01,65.5,Grass
Adrian Mannarino,2017-09-01,60.0,Grass
Adrian Mannarino,2017-10-01,64.3,Grass
Adrian Mannarino,2018-01-01,62.5,Grass
Adrian Mannarino,2018-02-01,58.1,Grass
Adrian Mannarino,2018-03-01,55.0,Grass
Adrian Mannarino,2018-04-01,50.0,Grass
Adrian Mannarino,2018-05-01,40.0,Grass
Adrian Mannarino,2018-06-01,37.5,Grass
Adrian Mannarino,2018-07-01,46.9,Grass
Adrian Mannarino,2018-08-01,53.8,Grass
Adrian Mannarino,2018-09-01,52.5,Grass
Adrian Mannarino,2018-10-01,44.0,Grass
Adrian Mannarino,2018-12-01,35.0,Grass
Adrian Mannarino,2019-01-01,32.5,Grass
Adrian Mannarino,2019-02-01,32.5,Grass
Adrian Mannarino,2019-03-01,41.3,Grass
Adrian Mannarino,2019-04-01,35.0,Grass
Adrian Mannarino,2019-05-01,32.0,Grass
Adrian Mannarino,2019-06-01,48.6,Grass
Adrian Mannarino,2019-07-01,51.2,Grass
Adrian Mannarino,2019-08-01,57.9,Grass
Adrian Mannarino,2019-09-01,58.1,Grass
Adrian Mannarino,2019-10-01,61.3,Grass
Adrian Mannarino,2020-01-01,51.7,Grass
Adrian Mannarino,2020-02-01,47.5,Grass
Adrian Mannarino,2020-08-01,40.0,Grass
Adrian Mannarino,2020-09-01,30.0,Grass
Adrian Mannarino,2020-10-01,34.4,Grass
Adrian Mannarino,2020-11-01,52.1,Grass
Adrian Mannarino,2021-01-01,50.0,Grass
Adrian Mannarino,2021-02-01,60.7,Grass
Adrian Mannarino,2021-03-01,55.0,Grass
Adrian Mannarino,2021-04-01,47.5,Grass
Adrian Mannarino,2021-05-01,34.0,Grass
Adrian Mannarino,2021-06-01,28.1,Grass
Adrian Mannarino,2021-08-01,30.0,Grass
Adrian Mannarino,2021-09-01,30.0,Grass
Adrian Mannarino,2021-10-01,32.0,Grass
Adrian Mannarino,2021-11-01,42.0,Grass
Adrian Mannarino,2022-01-01,41.7,Grass
Adrian Mannarino,2022-02-01,52.1,Grass
Adrian Mannarino,2022-03-01,53.3,Grass
Adrian Mannarino,2022-04-01,50.0,Grass
Adrian Mannarino,2022-05-01,53.3,Grass
Adrian Mannarino,2022-06-01,49.3,Grass
Adrian Mannarino,2022-07-01,42.5,Grass
Adrian Mannarino,2022-08-01,53.6,Grass
Adrian Mannarino,2022-09-01,60.0,Grass
Adrian Mannarino,2022-10-01,60.0,Grass
Adrian Mannarino,2023-01-01,53.0,Grass
Adrian Mannarino,2023-02-01,47.5,Grass
Adrian Mannarino,2023-03-01,52.9,Grass
Adrian Mannarino,2023-04-01,55.0,Grass
Adrian Mannarino,2023-05-01,56.3,Grass
Adrian Mannarino,2023-06-01,55.0,Grass
Adrian Mannarino,2023-07-01,59.3,Grass
Adrian Mannarino,2023-08-01,66.9,Grass
Adrian Mannarino,2023-09-01,72.9,Grass
Adrian Mannarino,2023-10-01,73.3,Grass
Adrian Mannarino,2023-11-01,71.2,Grass
Adrian Mannarino,2024-01-01,66.3,Grass
Adrian Mannarino,2024-02-01,58.3,Grass
Adrian Mannarino,2024-03-01,58.3,Grass
Adrian Mannarino,2024-04-01,50.0,Grass
Adrian Mannarino,2024-05-01,41.7,Grass
Adrian Mannarino,2024-06-01,38.8,Grass
Adrian Mannarino,2024-07-01,25.0,Grass
Adrian Mannarino,2024-08-01,13.0,Grass
Adrian Mannarino,2024-09-01,21.0,Grass
Adrian Mannarino,2024-10-01,29.3,Grass
Adrian Mannarino,2024-11-01,35.0,Grass
Adrian Mannarino,2025-01-01,35.0,Grass
Adrian Mannarino,2025-02-01,35.0,Grass
Adrian Mannarino,2025-03-01,37.5,Grass
Adrian Mannarino,2025-06-01,37.0,Grass
Adrian Mannarino,2025-07-01,36.7,Grass
Adrian Mannarino,2025-08-01,46.9,Grass
Adrian Mannarino,2025-09-01,56.7,Grass
Adrian Mannarino,2025-10-01,57.5,Grass
Adrian Mannarino,2025-11-01,55.0,Grass
Albert Ramos,2015-05-01,42.5,Clay
Albert Ramos,2015-06-01,41.7,Clay
Albert Ramos,2015-07-01,41.3,Clay
Albert Ramos,2015-08-01,35.0,Clay
Albert Ramos,2015-10-01,38.0,Clay
Albert Ramos,2016-01-01,35.0,Clay
Albert Ramos,2016-02-01,39.4,Clay
Albert Ramos,2016-03-01,45.0,Clay
Albert Ramos,2016-04-01,45.7,Clay
Albert Ramos,2016-05-01,50.0,Clay
Albert Ramos,2016-06-01,56.3,Clay
Albert Ramos,2016-07-01,65.0,Clay
Albert Ramos,2016-08-01,61.0,Clay
Albert Ramos,2016-09-01,56.7,Clay
Albert Ramos,2016-10-01,49.4,Clay
Albert Ramos,2017-01-01,48.8,Clay
Albert Ramos,2017-02-01,53.2,Clay
Albert Ramos,2017-03-01,58.3,Clay
Albert Ramos,2017-04-01,63.5,Clay
Albert Ramos,2017-05-01,58.6,Clay
Albert Ramos,2017-06-01,60.0,Clay
Albert Ramos,2017-07-01,55.7,Clay
Albert Ramos,2017-08-01,43.3,Clay
Albert Ramos,2017-09-01,45.0,Clay
Albert Ramos,2017-10-01,43.9,Clay
Albert Ramos,2018-01-01,40.0,Clay
Albert Ramos,2018-02-01,50.9,Clay
Albert Ramos,2018-03-01,50.0,Clay
Albert Ramos,2018-04-01,53.6,Clay
Albert Ramos,2018-05-01,47.8,Clay
Albert Ramos,2018-07-01,41.7,Clay
Albert Ramos,2018-08-01,35.0,Clay
Albert Ramos,2018-09-01,37.5,Clay
Albert Ramos,2018-10-01,33.0,Clay
Albert Ramos,2018-12-01,30.0,Clay
Albert Ramos,2019-01-01,22.5,Clay
Albert Ramos,2019-02-01,36.5,Clay
Albert Ramos,2019-03-01,46.7,Clay
Albert Ramos,2019-04-01,53.3,Clay
Albert Ramos,2019-05-01,54.3,Clay
Albert Ramos,2019-07-01,58.0,Clay
Albert Ramos,2019-08-01,67.5,Clay
Albert Ramos,2019-09-01,71.0,Clay
Albert Ramos,2019-10-01,66.7,Clay
Albert Ramos,2020-01-01,61.3,Clay
Albert Ramos,2020-02-01,50.6,Clay
Albert Ramos,2020-08-01,45.0,Clay
Albert Ramos,2020-09-01,40.0,Clay
Albert Ramos,2020-10-01,40.0,Clay
Albert Ramos,2020-11-01,35.0,Clay
Albert Ramos,2021-02-01,37.5,Clay
Albert Ramos,2021-03-01,47.0,Clay
Albert Ramos,2021-04-01,60.4,Clay
Albert Ramos,2021-05-01,65.0,Clay
Albert Ramos,2021-06-01,51.7,Clay
Albert Ramos,2021-07-01,50.0,Clay
Albert Ramos,2021-08-01,41.7,Clay
Albert Ramos,2021-10-01,32.0,Clay
Albert Ramos,2021-11-01,30.0,Clay
Albert Ramos,2022-01-01,40.0,Clay
Albert Ramos,2022-02-01,50.8,Clay
Albert Ramos,2022-03-01,50.0,Clay
Albert Ramos,2022-04-01,54.4,Clay
Albert Ramos,2022-05-01,48.0,Clay
Albert Ramos,2022-06-01,40.0,Clay
Albert Ramos,2022-07-01,42.5,Clay
Albert Ramos,2022-08-01,46.9,Clay
Albert Ramos,2022-09-01,50.0,Clay
Albert Ramos,2022-10-01,49.2,Clay
Albert Ramos,2023-01-01,36.3,Clay
Albert Ramos,2023-02-01,33.1,Clay
Albert Ramos,2023-03-01,27.5,Clay
Albert Ramos,2023-04-01,25.0,Clay
Albert Ramos,2023-05-01,30.0,Clay
Albert Ramos,2023-06-01,30.0,Clay
Albert Ramos,2023-07-01,31.1,Clay
Albert Ramos,2023-08-01,35.0,Clay
Albert Ramos,2023-09-01,35.0,Clay
Albert Ramos,2023-10-01,35.0,Clay
Albert Ramos,2023-11-01,37.5,Clay
Albert Ramos,2024-01-01,35.0,Clay
Albert Ramos,2024-02-01,40.0,Clay
Albert Ramos,2024-04-01,35.0,Clay
Albert Ramos,2024-07-01,25.0,Clay
Albert Ramos,2024-08-01,25.0,Clay
Albert Ramos,2025-04-01,25.0,Clay
Albert Ramos,2025-05-01,20.0,Clay
Alejandro Davidovich Fokina,2020-08-01,32.5,Clay
Alejandro Davidovich Fokina,2020-09-01,28.3,Clay
Alejandro Davidovich Fokina,2020-10-01,46.4,Clay
Alejandro Davidovich Fokina,2020-11-01,60.0,Clay
Alejandro Davidovich Fokina,2021-02-01,65.0,Clay
Alejandro Davidovich Fokina,2021-03-01,61.7,Clay
Alejandro Davidovich Fokina,2021-04-01,60.5,Clay
Alejandro Davidovich Fokina,2021-05-01,62.0,Clay
Alejandro Davidovich Fokina,2021-06-01,65.0,Clay
Alejandro Davidovich Fokina,2021-07-01,63.3,Clay
Alejandro Davidovich Fokina,2021-08-01,55.0,Clay
Alejandro Davidovich Fokina,2021-09-01,51.7,Clay
Alejandro Davidovich Fokina,2021-10-01,48.0,Clay
Alejandro Davidovich Fokina,2021-11-01,40.0,Clay
Alejandro Davidovich Fokina,2022-01-01,37.5,Clay
Alejandro Davidovich Fokina,2022-02-01,37.0,Clay
Alejandro Davidovich Fokina,2022-03-01,40.0,Clay
Alejandro Davidovich Fokina,2022-04-01,43.9,Clay
Alejandro Davidovich Fokina,2022-05-01,52.0,Clay
Alejandro Davidovich Fokina,2022-06-01,53.3,Clay
Alejandro Davidovich Fokina,2022-07-01,55.0,Clay
Alejandro Davidovich Fokina,2022-08-01,47.5,Clay
Alejandro Davidovich Fokina,2022-10-01,43.8,Clay
Alejandro Davidovich Fokina,2023-01-01,44.0,Clay
Alejandro Davidovich Fokina,2023-02-01,44.4,Clay
Alejandro Davidovich Fokina,2023-03-01,50.0,Clay
Alejandro Davidovich Fokina,2023-04-01,56.1,Clay
Alejandro Davidovich Fokina,2023-05-01,59.0,Clay
Alejandro Davidovich Fokina,2023-06-01,52.5,Clay
Alejandro Davidovich Fokina,2023-07-01,50.8,Clay
Alejandro Davidovich Fokina,2023-08-01,56.0,Clay
Alejandro Davidovich Fokina,2023-09-01,54.0,Clay
Alejandro Davidovich Fokina,2023-10-01,53.3,Clay
Alejandro Davidovich Fokina,2024-01-01,57.5,Clay
Alejandro Davidovich Fokina,2024-02-01,51.9,Clay
Alejandro Davidovich Fokina,2024-03-01,51.7,Clay
Alejandro Davidovich Fokina,2024-04-01,49.0,Clay
Alejandro Davidovich Fokina,2024-05-01,43.3,Clay
Alejandro Davidovich Fokina,2024-06-01,40.0,Clay
Alejandro Davidovich Fokina,2024-07-01,42.0,Clay
Alejandro Davidovich Fokina,2024-08-01,44.0,Clay
Alejandro Davidovich Fokina,2024-09-01,45.0,Clay
Alejandro Davidovich Fokina,2024-10-01,45.0,Clay
Alejandro Davidovich Fokina,2024-12-01,40.0,Clay
Alejandro Davidovich Fokina,2025-01-01,45.8,Clay
Alejandro Davidovich Fokina,2025-02-01,56.3,Clay
Alejandro Davidovich Fokina,2025-03-01,66.7,Clay
Alejandro Davidovich Fokina,2025-04-01,70.0,Clay
Alejandro Davidovich Fokina,2025-05-01,60.0,Clay
Alejandro Davidovich Fokina,2025-06-01,61.4,Clay
Alejandro Davidovich Fokina,2025-07-01,60.0,Clay
Alejandro Davidovich Fokina,2025-08-01,61.7,Clay
Alejandro Davidovich Fokina,2025-09-01,62.5,Clay
Alejandro Davidovich Fokina,2025-10-01,59.6,Clay
Alejandro Tabilo,2022-01-01,47.5,Clay
Alejandro Tabilo,2022-02-01,48.0,Clay
Alejandro Tabilo,2022-03-01,50.0,Clay
Alejandro Tabilo,2022-04-01,56.7,Clay
Alejandro Tabilo,2022-06-01,56.3,Clay
Alejandro Tabilo,2022-08-01,51.2,Clay
Alejandro Tabilo,2022-09-01,50.0,Clay
Alejandro Tabilo,2023-02-01,42.5,Clay
Alejandro Tabilo,2023-03-01,45.0,Clay
Alejandro Tabilo,2023-07-01,40.0,Clay
Alejandro Tabilo,2023-09-01,40.0,Clay
Alejandro Tabilo,2024-01-01,51.7,Clay
Alejandro Tabilo,2024-02-01,61.1,Clay
Alejandro Tabilo,2024-03-01,63.7,Clay
Alejandro Tabilo,2024-04-01,63.3,Clay
Alejandro Tabilo,2024-05-01,60.0,Clay
Alejandro Tabilo,2024-06-01,59.2,Clay
Alejandro Tabilo,2024-07-01,65.0,Clay
Alejandro Tabilo,2024-08-01,61.0,Clay
Alejandro Tabilo,2024-09-01,45.0,Clay
Alejandro Tabilo,2024-10-01,35.6,Clay
Alejandro Tabilo,2024-12-01,30.0,Clay
Alejandro Tabilo,2025-01-01,27.5,Clay
Alejandro Tabilo,2025-02-01,20.0,Clay
Alejandro Tabilo,2025-03-01,28.0,Clay
Alejandro Tabilo,2025-04-01,35.0,Clay
Alejandro Tabilo,2025-05-01,35.0,Clay
Alejandro Tabilo,2025-08-01,30.0,Clay
Alejandro Tabilo,2025-09-01,41.7,Clay
Alejandro Tabilo,2025-10-01,53.3,Clay
Alejandro Tabilo,2025-11-01,52.5,Clay
Aleksandar Vukic,2023-01-01,40.0,Grass
Aleksandar Vukic,2023-02-01,45.0,Grass
Aleksandar Vukic,2023-03-01,40.0,Grass
