player_id,first_name,last_name,country,surface,wins,matches,win_rate,surface_rank
104745,Rafael,Nadal,ESP,Clay,167,195,0.8564,1
207989,Carlos,Alcaraz,ESP,Clay,103,122,0.8443,2
104925,Novak,Djokovic,SRB,Clay,153,186,0.8226,3
126774,Stefanos,Tsitsipas,GRE,Clay,124,165,0.7515,4
100644,Alexander,Zverev,GER,Clay,165,221,0.7466,5
134770,Casper,Ruud,NOR,Clay,161,218,0.7385,6
104918,Andy,Murray,GBR,Clay,47,64,0.7344,7
126610,Matteo,Berrettini,ITA,Clay,67,92,0.7283,8
103819,Roger,Federer,SUI,Clay,28,39,0.7179,9
206173,Jannik,Sinner,ITA,Clay,65,91,0.7143,10
106233,Dominic,Thiem,AUT,Clay,151,216,0.6991,11
209260,Luciano,Darderi,ITA,Clay,43,63,0.6825,12
105453,Kei,Nishikori,JPN,Clay,76,112,0.6786,13
105683,Milos,Raonic,CAN,Clay,30,45,0.6667,14
126094,Andrey,Rublev,RUS,Clay,88,134,0.6567,15
207518,Lorenzo,Musetti,ITA,Clay,78,119,0.6555,16
103970,David,Ferrer,ESP,Clay,52,81,0.642,17
144684,Alex,Molcan,SVK,Clay,31,49,0.6327,18
202104,Sebastian,Baez,ARG,Clay,82,130,0.6308,19
104607,Tomas,Berdych,CZE,Clay,29,46,0.6304,20
105223,Juan Martin,del Potro,ARG,Clay,22,35,0.6286,21
208029,Holger,Rune,DEN,Clay,57,91,0.6264,22
111815,Cameron,Norrie,GBR,Clay,70,113,0.6195,23
106426,Cristian,Garin,CHI,Clay,87,143,0.6084,24
202103,Francisco,Cerundolo,ARG,Clay,80,132,0.6061,25
209950,Arthur,Fils,FRA,Clay,29,48,0.6042,26
105676,David,Goffin,BEL,Clay,84,140,0.6,27
106401,Nick,Kyrgios,AUS,Clay,27,45,0.6,28
210150,Jakub,Mensik,CZE,Clay,12,20,0.6,29
104655,Pablo,Cuevas,URU,Clay,103,172,0.5988,30
104545,John,Isner,USA,Clay,43,72,0.5972,31
207925,Flavio,Cobolli,ITA,Clay,28,47,0.5957,32
105227,Marin,Cilic,CRO,Clay,61,103,0.5922,33
103607,Victor,Estrella,DOM,Clay,29,49,0.5918,34
111513,Laslo,Djere,SRB,Clay,104,177,0.5876,35
111575,Karen,Khachanov,RUS,Clay,78,133,0.5865,36
111190,Zhizhen,Zhang,CHN,Clay,21,36,0.5833,37
207733,Jack,Draper,GBR,Clay,21,36,0.5833,37
105777,Grigor,Dimitrov,BUL,Clay,72,124,0.5806,39
104527,Stan,Wawrinka,SUI,Clay,65,112,0.5804,40
105807,Pablo,Carreno Busta,ESP,Clay,102,177,0.5763,41
104259,Philipp,Kohlschreiber,GER,Clay,62,108,0.5741,42
126203,Taylor,Fritz,USA,Clay,55,96,0.5729,43
128034,Hubert,Hurkacz,POL,Clay,44,77,0.5714,44
106043,Diego,Schwartzman,ARG,Clay,118,207,0.57,45
105373,Martin,Klizan,SVK,Clay,45,79,0.5696,46
106421,Daniil,Medvedev,RUS,Clay,46,81,0.5679,47
211663,Joao,Fonseca,BRA,Clay,13,23,0.5652,48
104926,Fabio,Fognini,ITA,Clay,116,207,0.5604,49
106432,Borna,Coric,CRO,Clay,66,118,0.5593,50
111797,Nicolas,Jarry,CHI,Clay,74,133,0.5564,51
105138,Roberto,Bautista Agut,ESP,Clay,84,151,0.5563,52
104542,Jo-Wilfried,Tsonga,FRA,Clay,31,56,0.5536,53
106058,Jack,Sock,USA,Clay,26,47,0.5532,54
104597,Nicolas,Almagro,ESP,Clay,37,67,0.5522,55
208363,Mariano,Navone,ARG,Clay,27,49,0.551,56
111202,Hyeon,Chung,KOR,Clay,17,31,0.5484,57
105643,Federico,Delbonis,ARG,Clay,100,183,0.5464,58
104338,Juan,Monaco,ARG,Clay,24,44,0.5455,59
126205,Tommy,Paul,USA,Clay,37,68,0.5441,60
208286,Matteo,Arnaldi,ITA,Clay,25,46,0.5435,61
105077,Albert,Ramos,ESP,Clay,145,267,0.5431,62
200000,Felix,Auger Aliassime,CAN,Clay,53,98,0.5408,63
104731,Kevin,Anderson,RSA,Clay,28,52,0.5385,64
200624,Sebastian,Korda,USA,Clay,28,52,0.5385,64
200221,Alejandro,Davidovich Fokina,ESP,Clay,51,95,0.5368,66
104755,Richard,Gasquet,FRA,Clay,66,123,0.5366,67
105916,Marton,Fucsovics,HUN,Clay,54,101,0.5347,68
105379,Aljaz,Bedene,SLO,Clay,56,105,0.5333,69
105870,Yannick,Hanfmann,GER,Clay,56,105,0.5333,69
210097,Ben,Shelton,USA,Clay,18,34,0.5294,71
105238,Alexandr,Dolgopolov,UKR,Clay,20,38,0.5263,72
104269,Fernando,Verdasco,ESP,Clay,61,117,0.5214,73
105526,Jan Lennard,Struff,GER,Clay,75,144,0.5208,74
200282,Alex,De Minaur,AUS,Clay,40,77,0.5195,75
104620,Simone,Bolelli,ITA,Clay,15,29,0.5172,76
105550,Guido,Pella,ARG,Clay,61,118,0.5169,77
144869,Tomas Martin,Etcheverry,ARG,Clay,48,93,0.5161,78
105449,Steve,Johnson,USA,Clay,32,62,0.5161,79
200303,Pavel,Kotov,RUS,Clay,17,33,0.5152,80
208103,Jiri,Lehecka,CZE,Clay,21,41,0.5122,81
105948,Federico,Coria,ARG,Clay,50,98,0.5102,82
122298,Botic,Van De Zandschulp,NED,Clay,27,53,0.5094,83
126214,Alejandro,Tabilo,CHI,Clay,28,55,0.5091,84
106298,Lucas,Pouille,FRA,Clay,38,75,0.5067,85
104792,Gael,Monfils,FRA,Clay,48,95,0.5053,86
133430,Denis,Shapovalov,CAN,Clay,38,76,0.5,87
122330,Alexander,Bublik,KAZ,Clay,37,74,0.5,88
134868,Tallon,Griekspoor,NED,Clay,29,58,0.5,89
200615,Alexei,Popyrin,AUS,Clay,29,58,0.5,89
200116,Camilo,Ugo Carabelli,ARG,Clay,18,36,0.5,91
206681,Fabian,Marozsan,HUN,Clay,16,32,0.5,92
207680,Facundo,Diaz Acosta,ARG,Clay,16,32,0.5,92
207830,Tomas,Machac,CZE,Clay,14,28,0.5,94
126207,Frances,Tiafoe,USA,Clay,45,91,0.4945,95
