player_id,first_name,last_name,country,wins,matches,losses,win_rate,best_surface
100644,Alexander,Zverev,GER,518,735,217,0.7048,Clay
103333,Ivo,Karlovic,CRO,110,218,108,0.5046,Grass
103565,Stephane,Robert,FRA,17,55,38,0.3091,Clay
103607,Victor,Estrella,DOM,41,97,56,0.4227,Clay
103794,Benjamin,Becker,GER,20,62,42,0.3226,Hard
103819,Roger,Federer,SUI,259,309,50,0.8382,Grass
103852,Feliciano,Lopez,ESP,144,300,156,0.48,Grass
103893,Paolo,Lorenzi,ITA,72,181,109,0.3978,Clay
103898,Julien,Benneteau,FRA,29,73,44,0.3973,Hard
103917,Nicolas,Mahut,FRA,59,121,62,0.4876,Grass
103970,David,Ferrer,ESP,133,217,84,0.6129,Clay
103990,Tommy,Robredo,ESP,32,74,42,0.4324,Clay
104022,Mikhail,Youzhny,RUS,43,125,82,0.344,Hard
104180,Gilles,Muller,LUX,109,194,85,0.5619,Grass
104198,Guillermo,Garcia Lopez,ESP,81,185,104,0.4378,Clay
104229,Yen Hsun,Lu,TPE,36,90,54,0.4,Hard
104252,Florian,Mayer,GER,27,80,53,0.3375,Grass
104259,Philipp,Kohlschreiber,GER,152,285,133,0.5333,Clay
104269,Fernando,Verdasco,ESP,154,317,163,0.4858,Clay
104291,Malek,Jaziri,TUN,77,191,114,0.4031,Clay
104312,Andreas,Seppi,ITA,124,264,140,0.4697,Grass
104327,Steve,Darcis,BEL,43,95,52,0.4526,Hard
104338,Juan,Monaco,ARG,38,75,37,0.5067,Clay
104468,Gilles,Simon,FRA,175,339,164,0.5162,Grass
104527,Stan,Wawrinka,SUI,244,408,164,0.598,Hard
104542,Jo-Wilfried,Tsonga,FRA,148,240,92,0.6167,Hard
104545,John,Isner,USA,246,413,167,0.5956,Grass
104547,Horacio,Zeballos,ARG,40,93,53,0.4301,Clay
104559,Teymuraz,Gabashvili,RUS,30,77,47,0.3896,Clay
104571,Marcos,Baghdatis,CYP,86,164,78,0.5244,Grass
104586,Lukas,Rosol,CZE,45,112,67,0.4018,Clay
104597,Nicolas,Almagro,ESP,50,105,55,0.4762,Clay
104607,Tomas,Berdych,CZE,156,238,82,0.6555,Hard
104620,Simone,Bolelli,ITA,38,84,46,0.4524,Clay
104655,Pablo,Cuevas,URU,146,284,138,0.5141,Clay
104660,Sergiy,Stakhovsky,UKR,45,112,67,0.4018,Hard
104665,Pablo,Andujar,ESP,65,167,102,0.3892,Clay
104678,Viktor,Troicki,SRB,106,215,109,0.493,Grass
104719,Marcel,Granollers,ESP,53,132,79,0.4015,Clay
104731,Kevin,Anderson,RSA,181,301,120,0.6013,Grass
104745,Rafael,Nadal,ESP,378,471,93,0.8025,Clay
104755,Richard,Gasquet,FRA,232,418,186,0.555,Grass
104792,Gael,Monfils,FRA,272,445,173,0.6112,Hard
104797,Denis,Istomin,UZB,68,171,103,0.3977,Grass
